longitude,latitude,sea_temperature
-77.1,-1.29,0.0
-77.1,-1.04,0.0
-77.1,-0.79,0.0
-77.1,-0.54,0.0
-77.1,-0.29,0.0
-77.1,-0.04,0.0
-77.1,0.21,0.0
-77.1,0.46,0.0
-77.1,0.71,0.0
-77.1,0.96,0.0
-77.1,1.21,0.0
-77.1,1.46,0.0
-77.1,1.71,0.0
-77.1,1.96,0.0
-77.1,2.21,0.0
-77.1,2.46,0.0
-77.1,2.71,0.0
-77.1,2.96,0.0
-77.1,3.21,0.0
-77.1,3.46,0.0
-77.1,3.71,0.0
-77.1,3.96,0.0
-77.1,4.21,0.0
-77.1,4.46,0.0
-77.1,4.71,0.0
-77.1,4.96,0.0
-77.1,5.21,0.0
-77.1,5.46,0.0
-77.1,5.71,0.0
-77.1,5.96,0.0
-77.1,6.21,0.0
-77.1,6.46,0.0
-77.1,6.71,0.0
-77.1,6.96,0.0
-77.1,7.21,0.0
-77.1,7.46,0.0
-77.1,7.71,0.0
-77.1,7.96,0.0
-77.1,8.21,0.0
-77.1,8.46,28.522821
-77.1,8.71,28.409542
-77.1,8.96,28.132305
-77.1,9.21,27.879265
-77.1,9.46,27.773088
-77.1,9.71,27.746845
-77.1,9.96,27.775858
-77.1,10.21,27.787655
-77.1,10.46,27.766708
-77.1,10.71,27.757681
-77.1,10.96,27.763821
-77.1,11.21,27.767551
-77.1,11.46,27.719278
-77.1,11.71,27.569164
-77.1,11.96,27.445654
-77.1,12.21,27.36861
-77.1,12.46,27.38125
-76.85,-4.29,0.0
-76.85,-4.04,0.0
-76.85,-3.79,0.0
-76.85,-3.54,0.0
-76.85,-3.29,0.0
-76.85,-3.04,0.0
-76.85,-2.79,0.0
-76.85,-2.54,0.0
-76.85,-2.29,0.0
-76.85,-2.04,0.0
-76.85,-1.79,0.0
-76.85,-1.54,0.0
-76.85,-1.29,0.0
-76.85,-1.04,0.0
-76.85,-0.79,0.0
-76.85,-0.54,0.0
-76.85,-0.29,0.0
-76.85,-0.04,0.0
-76.85,0.21,0.0
-76.85,0.46,0.0
-76.85,0.71,0.0
-76.85,0.96,0.0
-76.85,1.21,0.0
-76.85,1.46,0.0
-76.85,1.71,0.0
-76.85,1.96,0.0
-76.85,2.21,0.0
-76.85,2.46,0.0
-76.85,2.71,0.0
-76.85,2.96,0.0
-76.85,3.21,0.0
-76.85,3.46,0.0
-76.85,3.71,0.0
-76.85,3.96,0.0
-76.85,4.21,0.0
-76.85,4.46,0.0
-76.85,4.71,0.0
-76.85,4.96,0.0
-76.85,5.21,0.0
-76.85,5.46,0.0
-76.85,5.71,0.0
-76.85,5.96,0.0
-76.85,6.21,0.0
-76.85,6.46,0.0
-76.85,6.71,0.0
-76.85,6.96,0.0
-76.85,7.21,0.0
-76.85,7.46,0.0
-76.85,7.71,0.0
-76.85,7.96,28.365604
-76.85,8.21,28.420858
-76.85,8.46,0.0
-76.85,8.71,28.391485
-76.85,8.96,28.262196
-76.85,9.21,28.055984
-76.85,9.46,27.979061
-76.85,9.71,27.956791
-76.85,9.96,27.897202
-76.85,10.21,27.940178
-76.85,10.46,27.936205
-76.85,10.71,27.893591
-76.85,10.96,27.830872
-76.85,11.21,27.804628
-76.85,11.46,27.676304
-76.85,11.71,27.474304
-76.85,11.96,27.280008
