longitude,latitude,sea_level
-79.0,5.75,0.253956
-79.0,5.833336,0.254181
-79.0,5.9166718,0.25444
-79.0,6.0,0.255225
-79.0,6.083336,0.256508
-79.0,6.1666718,0.257244
-79.0,6.25,0.257202
-79.0,6.333336,0.256089
-79.0,6.4166718,0.25437
-79.0,6.5,0.252255
-79.0,6.583336,0.250753
-79.0,6.6666718,0.248215
-79.0,6.75,0.244156
-79.0,6.833336,0.239296
-79.0,6.9166718,0.234648
-79.0,7.0,0.231227
-79.0,7.083336,0.229521
-79.0,7.1666718,0.229654
-79.0,7.25,0.231904
-79.0,7.333336,0.236008
-79.0,7.4166718,0.241314
-79.0,7.5,0.246796
-79.0,7.583336,0.252495
-79.0,7.6666718,0.259714
-79.0,7.75,0.270429
-79.0,7.833336,0.284652
-79.0,7.9166718,0.300675
-79.0,8.0,0.315414
-79.0,8.083336,0.325118
-79.0,8.166672,0.328619
-79.0,8.25,0.328414
-79.0,8.333336,0.327778
-79.0,8.416672,0.324906
-79.0,8.5,0.0
-79.0,8.583336,0.321446
-79.0,8.666672,0.322084
-79.0,8.75,0.325509
-79.0,8.833336,0.32795
-79.0,8.916672,0.328896
-79.0,9.0,0.329492
-79.0,9.083336,0.0
-79.0,9.166672,0.0
-79.0,9.25,0.0
-79.0,9.333336,0.0
-79.0,9.416672,0.163506
-79.0,9.5,0.162721
-79.0,9.583336,0.159819
-79.0,9.666672,0.156488
-79.0,9.75,0.153857
-79.0,9.833336,0.150425
-79.0,9.916672,0.143455
-79.0,10.0,0.131545
-79.0,10.083336,0.115855
-79.0,10.166672,0.097335
-79.0,10.25,0.078608
-79.0,10.333336,0.063031
-79.0,10.416672,0.051038
-79.0,10.5,0.041634
-79.0,10.583336,0.033739
-79.0,10.666672,0.028526
-79.0,10.75,0.026512
-79.0,10.833336,0.027325
-79.0,10.916672,0.02938
-79.0,11.0,0.029938
-79.0,11.083336,0.029301
-79.0,11.166672,0.030728
-79.0,11.25,0.034297
-79.0,11.333336,0.039114
-79.0,11.416672,0.045078
-79.0,11.5,0.052312
-79.0,11.583336,0.060074
-79.0,11.666672,0.069384
-79.0,11.75,0.080939
-79.0,11.833336,0.094634
-79.0,11.916672,0.109454
-79.0,12.0,0.124341
-79.0,12.083336,0.138396
-79.0,12.166672,0.150268
-79.0,12.25,0.162963
-79.0,12.333336,0.180018
-79.0,12.416672,0.199669
-78.916664,-4.25,0.0
-78.916664,-4.166664,0.0
-78.916664,-4.0833282,0.0
-78.916664,-4.0,0.0
-78.916664,-3.9166641,0.0
-78.916664,-3.8333282,0.0
-78.916664,-3.75,0.0
-78.916664,-3.6666641,0.0
-78.916664,-3.5833282,0.0
-78.916664,-3.5,0.0
-78.916664,-3.4166641,0.0
-78.916664,-3.3333282,0.0
-78.916664,-3.25,0.0
-78.916664,-3.1666641,0.0
-78.916664,-3.0833282,0.0
-78.916664,-3.0,0.0
-78.916664,-2.9166641,0.0
-78.916664,-2.8333282,0.0
-78.916664,-2.75,0.0
-78.916664,-2.6666641,0.0
-78.916664,-2.5833282,0.0
-78.916664,-2.5,0.0
-78.916664,-2.4166641,0.0
-78.916664,-2.3333282,0.0
-78.916664,-2.25,0.0
-78.916664,-2.1666641,0.0
-78.916664,-2.0833282,0.0
-78.916664,-2.0,0.0
-78.916664,-1.9166641,0.0
-78.916664,-1.8333282,0.0
-78.916664,-1.75,0.0
-78.916664,-1.6666641,0.0
-78.916664,-1.5833282,0.0
-78.916664,-1.5,0.0
-78.916664,-1.4166641,0.0
-78.916664,-1.3333282,0.0
-78.916664,-1.25,0.0
-78.916664,-1.1666641,0.0
-78.916664,-1.0833282,0.0
-78.916664,-1.0,0.0
-78.916664,-0.9166641,0.0
-78.916664,-0.83332825,0.0
-78.916664,-0.75,0.0
-78.916664,-0.6666641,0.0
-78.916664,-0.58332825,0.0
-78.916664,-0.5,0.0
-78.916664,-0.41666412,0.0
-78.916664,-0.33332825,0.0
-78.916664,-0.25,0.0
-78.916664,-0.16666412,0.0
