DN,geometry
6,"POLYGON ((-76.97119071712025 3.007342056302326, -76.97119071712025 2.99364445183721, -76.95749311265823 2.99364445183721, -76.95749311265823 3.007342056302326, -76.97119071712025 3.007342056302326))"
5,"POLYGON ((-76.25891528509493 3.007342056302326, -76.25891528509493 2.99364445183721, -76.2452176806329 2.99364445183721, -76.2452176806329 3.007342056302326, -76.25891528509493 3.007342056302326))"
2,"POLYGON ((-76.20412486724683 2.99364445183721, -76.20412486724683 2.979946847372093, -76.19042726278481 2.979946847372093, -76.19042726278481 2.99364445183721, -76.20412486724683 2.99364445183721))"
1,"POLYGON ((-76.0808464270886 3.075830078627907, -76.0808464270886 3.048434869697675, -76.09454403155063 3.048434869697675, -76.09454403155063 3.007342056302326, -76.10824163601265 3.007342056302326, -76.10824163601265 2.99364445183721, -76.12193924047467 2.99364445183721, -76.12193924047467 2.979946847372093, -76.09454403155063 2.979946847372093, -76.09454403155063 2.99364445183721, -76.06714882262658 2.99364445183721, -76.06714882262658 3.034737265232558, -76.05345121816455 3.034737265232558, -76.05345121816455 3.048434869697675, -76.06714882262658 3.048434869697675, -76.06714882262658 3.075830078627907, -76.0808464270886 3.075830078627907))"
2,"POLYGON ((-76.05345121816455 2.979946847372093, -76.05345121816455 2.966249242906977, -76.03975361370253 2.966249242906977, -76.03975361370253 2.979946847372093, -76.05345121816455 2.979946847372093))"
5,"POLYGON ((-77.02598113496835 3.158015705418605, -77.02598113496835 3.130620496488372, -77.03967873943037 3.130620496488372, -77.03967873943037 3.144318100953488, -77.0533763438924 3.144318100953488, -77.0533763438924 3.116922892023256, -77.06707394835443 3.116922892023256, -77.06707394835443 3.089527683093023, -77.0533763438924 3.089527683093023, -77.0533763438924 3.075830078627907, -77.03967873943037 3.075830078627907, -77.03967873943037 3.048434869697675, -76.98488832158228 3.048434869697675, -76.98488832158228 3.034737265232558, -76.95749311265823 3.034737265232558, -76.95749311265823 2.95255163844186, -76.9437955081962 2.95255163844186, -76.9437955081962 3.034737265232558, -76.91640029927215 3.034737265232558, -76.91640029927215 3.048434869697675, -76.93009790373418 3.048434869697675, -76.93009790373418 3.062132474162791, -76.95749311265823 3.062132474162791, -76.95749311265823 3.048434869697675, -76.97119071712025 3.048434869697675, -76.97119071712025 3.075830078627907, -76.98488832158228 3.075830078627907, -76.98488832158228 3.062132474162791, -76.9985859260443 3.062132474162791, -76.9985859260443 3.075830078627907, -77.01228353050632 3.075830078627907, -77.01228353050632 3.158015705418605, -77.02598113496835 3.158015705418605))"
5,"POLYGON ((-76.25891528509493 3.158015705418605, -76.25891528509493 3.144318100953488, -76.27261288955695 3.144318100953488, -76.27261288955695 3.130620496488372, -76.30000809848102 3.130620496488372, -76.30000809848102 3.10322528755814, -76.31370570294304 3.10322528755814, -76.31370570294304 3.089527683093023, -76.32740330740506 3.089527683093023, -76.32740330740506 3.075830078627907, -76.30000809848102 3.075830078627907, -76.30000809848102 3.062132474162791, -76.34110091186709 3.062132474162791, -76.34110091186709 3.034737265232558, -76.32740330740506 3.034737265232558, -76.32740330740506 3.048434869697675, -76.30000809848102 3.048434869697675, -76.30000809848102 3.021039660767442, -76.31370570294304 3.021039660767442, -76.31370570294304 3.007342056302326, -76.34110091186709 3.007342056302326, -76.34110091186709 2.979946847372093, -76.32740330740506 2.979946847372093, -76.32740330740506 2.99364445183721, -76.30000809848102 2.99364445183721, -76.30000809848102 2.95255163844186, -76.28631049401898 2.95255163844186, -76.28631049401898 3.021039660767442, -76.2452176806329 3.021039660767442, -76.2452176806329 3.048434869697675, -76.28631049401898 3.048434869697675, -76.28631049401898 3.116922892023256, -76.2452176806329 3.116922892023256, -76.2452176806329 3.158015705418605, -76.25891528509493 3.158015705418605))"
6,"POLYGON ((-76.97119071712025 2.979946847372093, -76.97119071712025 2.95255163844186, -76.95749311265823 2.95255163844186, -76.95749311265823 2.979946847372093, -76.97119071712025 2.979946847372093))"
6,"POLYGON ((-76.9437955081962 2.966249242906977, -76.9437955081962 2.95255163844186, -76.95749311265823 2.95255163844186, -76.95749311265823 2.938854033976744, -76.93009790373418 2.938854033976744, -76.93009790373418 2.966249242906977, -76.9437955081962 2.966249242906977))"
6,"POLYGON ((-76.71093623234177 2.95255163844186, -76.71093623234177 2.938854033976744, -76.69723862787974 2.938854033976744, -76.69723862787974 2.95255163844186, -76.71093623234177 2.95255163844186))"
